id,invoice_number,supplier_gstin,supplier_name,financial_year,rendered
1,VL/QR/202627/00001,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
4,VL/QR/202627/00002,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
5,VL/QR/202627/00003,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
6,VL/QR/202627/00004,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
7,VL/QR/202627/00005,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
8,VL/QR/202627/00006,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
9,VL/QR/202627/00007,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
10,VL/QR/202627/00008,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
11,VL/QR/202627/00009,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
12,VL/QR/202627/00010,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
13,VL/QR/202627/00011,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
14,VL/QR/202627/00012,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
15,VL/QR/202627/00013,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
16,VL/QR/202627/00014,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
21,VL/QR/202627/00015,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
22,VL/QR/202627/00016,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
23,VL/QR/202627/00017,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
24,VL/QR/202627/00018,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
25,VL/QR/202627/00019,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
26,VL/QR/202627/00020,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
27,VL/QR/202627/00021,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
29,VL/QR/202627/00022,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
30,VL/QR/202627/00023,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
31,VL/QR/202627/00024,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
33,VL/QR/202627/00025,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
34,VL/QR/202627/00026,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
35,VL/QR/202627/00027,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
36,VL/QR/202627/00028,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
37,VL/QR/202627/00029,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
38,VL/QR/202627/00030,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
39,VL/QR/202627/00031,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
40,VL/QR/202627/00032,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
41,VL/QR/202627/00033,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
42,VL/QR/202627/00034,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
43,VL/QR/202627/00035,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
44,VL/QR/202627/00036,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
45,VL/QR/202627/00037,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
46,VL/QR/202627/00038,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
47,VL/QR/202627/00039,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
48,VL/QR/202627/00040,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
49,VL/QR/202627/00041,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
50,VL/QR/202627/00042,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
52,VL/QR/202627/00043,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
53,VL/QR/202627/00044,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
54,VL/QR/202627/00045,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
55,VL/QR/202627/00046,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
56,VL/QR/202627/00047,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
57,VL/QR/202627/00048,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
58,VL/QR/202627/00049,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
59,VL/QR/202627/00050,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
60,VL/QR/202627/00051,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
61,VL/QR/202627/00052,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
62,VL/QR/202627/00053,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
63,VL/QR/202627/00054,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
64,VL/F1/QR/202627/00001,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
65,VL/F1/QR/202627/00002,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
66,VL/F1/QR/202627/00003,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
67,VL/F1/QR/202627/00004,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
68,VL/F1/QR/202627/00005,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
69,VL/F1/QR/202627/00006,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
70,VL/F1/QR/202627/00007,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
71,VL/F1/QR/202627/00008,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
72,VL/F1/QR/202627/00009,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
73,VL/F1/QR/202627/00010,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
74,VL/F1/QR/202627/00011,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
75,VL/F3/QR/202627/00001,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
76,VL/F3/QR/202627/00002,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
