id,invoice_number,supplier_gstin,supplier_name,financial_year,rendered
1,VL/WAL/202627/00001,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
2,VL/WAL/202627/00002,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
3,VL/WAL/202627/00003,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
4,VL/F2/QR/202627/00001,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
5,VL/F2/QR/202627/00002,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
6,VL/F2/QR/202627/00003,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
7,VL/F2/QR/202627/00004,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
8,VL/F5/QR/202627/00001,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
9,VL/F5/QR/202627/00002,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
10,VL/F5/QR/202627/00003,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
11,VL/F5/QR/202627/00004,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
12,VL/F5/QR/202627/00005,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
13,VL/F5/QR/202627/00006,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
14,VL/F5/QR/202627/00007,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
15,VL/F5/QR/202627/00008,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
16,VL/F5/QR/202627/00009,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
17,VL/F5/WAL/202627/00001,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
18,VL/F5/WAL/202627/00002,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
19,VL/F5/QR/202627/00010,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
20,VL/F5/WAL/202627/00003,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
21,VL/F5/QR/202627/00011,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
22,VL/F5/QR/202627/00012,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
23,VL/F5/QR/202627/00013,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
24,VL/F5/QR/202627/00014,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
25,VL/F5/QR/202627/00015,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
26,VL/F5/WAL/202627/00004,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
27,VL/F5/QR/202627/00016,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
28,VL/F5/QR/202627/00017,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
29,VL/F5/QR/202627/00018,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
30,VL/F5/QR/202627/00019,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
31,VL/F5/QR/202627/00020,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
32,VL/F5/WAL/202627/00005,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
33,VL/F5/QR/202627/00021,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
34,VL/F5/QR/202627/00022,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
35,VL/F5/QR/202627/00023,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
36,VL/F5/QR/202627/00024,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
37,VL/F5/QR/202627/00025,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
38,VL/F5/QR/202627/00026,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
39,VL/F5/QR/202627/00027,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
40,VL/F5/QR/202627/00028,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
41,VL/F5/QR/202627/00029,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
42,VL/F5/QR/202627/00030,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
43,VL/F5/QR/202627/00031,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
44,VL/F5/QR/202627/00032,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
45,VL/F5/QR/202627/00033,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
46,VL/F5/QR/202627/00034,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
47,VL/F5/QR/202627/00035,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
48,VL/F5/QR/202627/00036,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
49,VL/F5/QR/202627/00037,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
50,VL/F5/QR/202627/00038,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
51,VL/F5/QR/202627/00039,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
52,VL/F5/QR/202627/00040,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
53,VL/F5/QR/202627/00041,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
54,VL/F5/QR/202627/00042,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
55,VL/F5/QR/202627/00043,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
56,VL/F5/QR/202627/00044,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
57,VL/F5/QR/202627/00045,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
58,VL/F5/QR/202627/00046,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
59,VL/F5/QR/202627/00047,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
60,VL/F5/QR/202627/00048,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
61,VL/F5/QR/202627/00049,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
62,VL/F5/QR/202627/00050,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
